sample_id,season,event,driver,stint,lap,horizon,current_D,generated_target,raw_dataset_target,difference,status
2024_021,2024,Japanese Grand Prix,RUS,4,50,+5,2.4102,NaN,NaN,0.0,PASS
2024_021,2024,Japanese Grand Prix,RUS,4,50,+10,2.4102,NaN,NaN,0.0,PASS
2024_022,2024,Italian Grand Prix,VER,1,6,+1,0.0,0.0,0.0,0.0,PASS
2024_022,2024,Italian Grand Prix,VER,1,6,+3,0.0,0.0,0.0,0.0,PASS
2024_022,2024,Italian Grand Prix,VER,1,6,+5,0.0,0.0,0.0,0.0,PASS
2024_022,2024,Italian Grand Prix,VER,1,6,+10,0.0,0.4786,0.4786,0.0,PASS
2024_023,2024,Emilia Romagna Grand Prix,PER,1,12,+1,0.6754,0.6754,0.6754,0.0,PASS
2024_023,2024,Emilia Romagna Grand Prix,PER,1,12,+3,0.6754,0.6754,0.6754,0.0,PASS
2024_023,2024,Emilia Romagna Grand Prix,PER,1,12,+5,0.6754,5.3034,5.3034,0.0,PASS
2024_023,2024,Emilia Romagna Grand Prix,PER,1,12,+10,0.6754,5.3034,5.3034,0.0,PASS
2024_024,2024,Monaco Grand Prix,ALO,2,38,+1,0.0,0.0,0.0,0.0,PASS
2024_024,2024,Monaco Grand Prix,ALO,2,38,+3,0.0,1.1002,1.1002,0.0,PASS
2024_024,2024,Monaco Grand Prix,ALO,2,38,+5,0.0,1.1002,1.1002,0.0,PASS
2024_024,2024,Monaco Grand Prix,ALO,2,38,+10,0.0,1.1002,1.1002,0.0,PASS
2024_025,2024,Australian Grand Prix,RIC,3,41,+1,2.2826,2.2826,2.2826,0.0,PASS
2024_025,2024,Australian Grand Prix,RIC,3,41,+3,2.2826,2.2826,2.2826,0.0,PASS
2024_025,2024,Australian Grand Prix,RIC,3,41,+5,2.2826,2.2826,2.2826,0.0,PASS
2024_025,2024,Australian Grand Prix,RIC,3,41,+10,2.2826,2.2826,2.2826,0.0,PASS
2024_026,2024,Belgian Grand Prix,STR,2,39,+1,2.1659,2.1659,2.1659,0.0,PASS
2024_026,2024,Belgian Grand Prix,STR,2,39,+3,2.1659,2.1659,2.1659,0.0,PASS
2024_026,2024,Belgian Grand Prix,STR,2,39,+5,2.1659,2.1659,2.1659,0.0,PASS
2024_026,2024,Belgian Grand Prix,STR,2,39,+10,2.1659,NaN,NaN,0.0,PASS
2024_027,2024,Hungarian Grand Prix,ALB,2,14,+1,0.6509,0.6509,0.6509,0.0,PASS
2024_027,2024,Hungarian Grand Prix,ALB,2,14,+3,0.6509,1.4119,1.4119,0.0,PASS
2024_027,2024,Hungarian Grand Prix,ALB,2,14,+5,0.6509,2.3544,2.3544,0.0,PASS
2024_027,2024,Hungarian Grand Prix,ALB,2,14,+10,0.6509,2.3544,2.3544,0.0,PASS
2024_028,2024,Singapore Grand Prix,HUL,2,36,+1,0.0,0.0308,0.0308,0.0,PASS
2024_028,2024,Singapore Grand Prix,HUL,2,36,+3,0.0,0.0308,0.0308,0.0,PASS
2024_028,2024,Singapore Grand Prix,HUL,2,36,+5,0.0,0.0308,0.0308,0.0,PASS
2024_028,2024,Singapore Grand Prix,HUL,2,36,+10,0.0,0.0308,0.0308,0.0,PASS
2024_029,2024,Hungarian Grand Prix,VER,3,54,+1,1.1625,1.907,1.907,0.0,PASS
2024_029,2024,Hungarian Grand Prix,VER,3,54,+3,1.1625,1.907,1.907,0.0,PASS
2024_029,2024,Hungarian Grand Prix,VER,3,54,+5,1.1625,1.907,1.907,0.0,PASS
2024_029,2024,Hungarian Grand Prix,VER,3,54,+10,1.1625,3.1295,3.1295,0.0,PASS
2024_030,2024,Spanish Grand Prix,HAM,3,58,+1,1.1094,1.1139,1.1139,0.0,PASS
